セクション,セクション_ja,項目,項目_ja,2026年モデル 310km ヤングエディション,2026年モデル 310km ドリームエディション,2026年モデル 410km フリースタイルエディション,2026年モデル 410km フリーエディション,2026年モデル 410km エクスプローラーエディション,2026年モデル STAR 限定版,2025年モデル 310km ヤングエディション,2025年モデル 310km ドリームエディション,2025年モデル 410km フリーエディション,2025年モデル UP 410km エクスプローラーエディション,2025年モデル UP 410km エクスプローラー+エディション
屏幕/系统,ディスプレイ／システム,语音识别控制系统,音声認識コントロールシステム,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,● マルチメディアシステム ナビ 電話 エアコン シートヒーター
屏幕/系统,ディスプレイ／システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー
屏幕/系统,ディスプレイ／システム,语音免唤醒词,ウェイクワード不要音声操作,●,●,●,●,●,●,-,-,-,-,-
屏幕/系统,ディスプレイ／システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ／システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ／システム,应用商店,アプリストア,●,●,●,●,●,●,-,●,-,●,●
屏幕/系统,ディスプレイ／システム,车载智能系统,車載インテリジェントシステム,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作機能,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター 車両状態確認・診断 車両位置特定・呼出
方向盘/内后视镜,ステアリング／内側バックミラー,方向盘材质,ステアリング材質,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング／内側バックミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング／内側バックミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング／内側バックミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング／内側バックミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング／内側バックミラー,方向盘记忆,ステアリングメモリー機能,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング／内側バックミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング／内側バックミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,●,●,-,-,-,-,●
方向盘/内后视镜,ステアリング／内側バックミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング／内側バックミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電,USB/Type-C接口数量,USB／Type-Cポート数,● 前席2個,● 前席2個／後席1個,● 前席2個,● 前席2個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個,● 前席2個／後席1個,● 前席2個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,● 前席,-,-,-,-,● 前席
车内充电,車内充電,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,● 50W,● 50W,-,-,-,-,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席／助手席電動調整,-,● 運転席/助手席,-,-,● 運転席/助手席,● 運転席/助手席,-,-,-,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,前席シート機能,-,-,-,-,● 加熱機能,● 加熱機能,-,-,-,● 加熱機能,● 加熱機能
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,前後センターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ／室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ／室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー
音响/车内灯光,オーディオ／室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ／室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,● 256色,-,-,-,-,● 256色
空调/冰箱,エアコン／冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン／冷蔵庫,后排独立空调,後部独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン／冷蔵庫,后座出风口,後席エアアウトレット,-,●,-,-,●,●,-,-,-,-,●
空调/冰箱,エアコン／冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン／冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン／冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,-,-,-,-,-
颜色,カラー,外观颜色,外装色,天真ブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト ムースシルバー シャンソンパープル ￥3000 ココアクリーム ￥3000,天真ブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト ムースシルバー シャンソンパープル ￥3000 ココアクリーム ￥3000,天真ブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト ムースシルバー シャンソンパープル ￥3000 ココアクリーム ￥3000,天真ブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト ムースシルバー シャンソンパープル ￥3000 ココアクリーム ￥3000,天真ブルー ブラック／ムースシルバー ￥2000 ブラック／バニラクリーム ￥2000 ブラック／アイスベリーピンク ￥2000 ブラック／バジルグリーン ￥2000 ブラック／ミルクホワイト ￥2000 バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト ムースシルバー ブラック／天真ブルー ￥2000 ブラック／ココアクリーム ￥5000 シャンソンパープル ￥3000 ブラック／シャンソンパープル ￥5000 ココアクリーム ￥3000,レッド／シャドーグレー レッド／シルバー,天真ブルー シーソルトブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト トリュフグレー ムースシルバー,天真ブルー シーソルトブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト トリュフグレー ムースシルバー,天真ブルー シーソルトブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト トリュフグレー ムースシルバー,天真ブルー シーソルトブルー バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト トリュフグレー ムースシルバー,天真ブルー シーソルトブルー ブラック／シーソルトブルー ￥2000 ブラック／ムースシルバー ￥2000 ブラック／トリュフグレー ￥2000 ブラック／バニラクリーム ￥2000 ブラック／アイスベリーピンク ￥2000 ブラック／バジルグリーン ￥2000 ブラック／ミルクホワイト ￥2000 バジルグリーン アイスベリーピンク バニラクリーム ミルクホワイト トリュフグレー ムースシルバー ブラック／天真ブルー ￥2000
颜色,カラー,内饰颜色,内装色,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／リードアプリコット ￥2000,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／リードアプリコット ￥2000,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／リードアプリコット ￥2000,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／リードアプリコット ￥2000,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／リードアプリコット ￥2000,オブシディアンブラック,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／フェアリートレイルグリーン,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／フェアリートレイルグリーン,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／フェアリートレイルグリーン,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／フェアリートレイルグリーン,ブラック／スターグレー ブラック／スカイミラーホワイト ブラック／フェアリートレイルグリーン
选装包,オプションパッケージ,智能驾驶辅助系统,スマート運転支援システム,-,-,-,-,-,-,-,-,-,-,○ 含む：ACC全速度域アダプティブクルーズコントロール、AEB-P自動緊急ブレーキ支援システム（歩行者認識機能付）、TSI交通標識認識、LDW車線逸脱警報、IHBCインテリジェントハイビームコントロール、FVD先行車発進通知　オプション（3000元）
