セクション,セクション_ja,項目,項目_ja,2025年モデル 135KM 2WD Pro版,2025年モデル 200KM 2WD Max版,2025年モデル 190KM 4WD Max版,2025年モデル 190KM 4WD Ultra版
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・上下調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）・ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,前後調整・リクライニング調整・上下調整（2方向）・レッグレスト調整（2000元）・ランバーサポート（4方向）,前後調整・リクライニング調整・上下調整（2方向）・レッグレスト調整（2000元）・ランバーサポート（4方向）,前後調整・リクライニング調整・上下調整（2方向）・レッグレスト調整（2000元）・ランバーサポート（4方向）,前後調整・リクライニング調整・上下調整（2方向）・レッグレスト調整（2000元）・ランバーサポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,ヒーター・ベンチレーション・マッサージ（4000元）,ヒーター・ベンチレーション・マッサージ（4000元）,ヒーター・ベンチレーション・マッサージ（4000元）,ヒーター・ベンチレーション・マッサージ（4000元）・ヘッドレストスピーカー（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,○ リクライニング調整（4000元）,○ リクライニング調整（4000元）,○ リクライニング調整（4000元）,○ リクライニング調整（4000元）
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,○,○,○,○
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター・ベンチレーション,● ヒーター・ベンチレーション,● ヒーター・ベンチレーション,● ヒーター・ベンチレーション
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 20スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色（マルチカラー）,● 多色（マルチカラー）,● 多色（マルチカラー）,● 多色（マルチカラー）
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,●,●,●
颜色,カラー,外观颜色,外装色,星月シルバー・曜石ブラック・旭日ゴールド・山水グリーン・晨光ブルー・青峦グリーン ￥3000・霜霧グレー ￥3000,星月シルバー・曜石ブラック・旭日ゴールド・山水グリーン・晨光ブルー・青峦グリーン ￥3000・霜霧グレー ￥3000,星月シルバー・曜石ブラック・旭日ゴールド・山水グリーン・晨光ブルー・青峦グリーン ￥3000・霜霧グレー ￥3000,星月シルバー・曜石ブラック・旭日ゴールド・山水グリーン・晨光ブルー・青峦グリーン ￥3000・霜霧グレー ￥3000
颜色,カラー,内饰颜色,内装色,暮雲オレンジ・雪隠グレー・日蝕ブルー,暮雲オレンジ・雪隠グレー・日蝕ブルー,暮雲オレンジ・雪隠グレー・日蝕ブルー,暮雲オレンジ・雪隠グレー・日蝕ブルー
选装包,オプションパッケージ,舒享升级包,快適アップグレードパッケージ,○ 含む：前席シートマッサージ、後席リクライニング電動調整、助手席快適レッグレスト（オプション 10000元）,○ 含む：前席シートマッサージ、後席リクライニング電動調整、助手席快適レッグレスト（オプション 10000元）,○ 含む：前席シートマッサージ、後席リクライニング電動調整、助手席快適レッグレスト（オプション 10000元）,○ 含む：前席シートマッサージ、後席リクライニング電動調整、助手席快適レッグレスト（オプション 10000元）
选装包,オプションパッケージ,灵鸢·比亚迪智能车载无人机系统,Lingyuan・BYDインテリジェント車載ドローンシステム,-,-,-,○ 含む：1年DJI「DJI Care 随心换 車載ドローン版」（968元）、スマートガレージ（4K高画質超広角ルーフカメラ含む）×1、DJI AIR 3S カスタム車載ドローン×1、カスタムデュアルモードコントローラー×1（オプション 16968元）
