セクション,セクション_ja,項目,項目_ja,2026年モデル 智慧チャンピオン版 1.5T 新ブルーホエール 智リード型,2026年モデル 智慧チャンピオン版 1.5T 新ブルーホエール 智航型,2025年モデル 第3世代 チャンピオン版 1.5T 劲リード型,2025年モデル 第3世代 チャンピオン版 1.5T 劲航型,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧ホエール悦版,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧卓越型,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧尊享型,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧フラッグシップ型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎風型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎雲型,2024年モデル 第3世代 チャンピオン版 2.0T 智駕劲擎型
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,-,-,-,-,●,●,●,●,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 運転席,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,-,-,-,-,-,-,-,● 前席,-,● 前席,○ 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席＋照明灯・助手席＋照明灯,● 運転席・助手席,● 運転席・助手席,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,-,-,-,-,-,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ドアミラー加熱・バック時自動下向き・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 12.3インチ,● 12.3インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 12.3インチ
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,-,-,-,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・HUAWEI HiCar対応・Carlink対応・Honor車連携対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応・Honor車連携対応,● HUAWEI HiCar対応・Carlink対応,● HUAWEI HiCar対応・Carlink対応,● HUAWEI HiCar対応・Carlink対応・T-LINK対応,● HUAWEI HiCar対応・Carlink対応・T-LINK対応,● HUAWEI HiCar対応・Carlink対応・T-LINK対応,● HUAWEI HiCar対応・Carlink対応・T-LINK対応,● HUAWEI HiCar対応・Carlink対応・T-LINK対応,● HUAWEI HiCar対応・Carlink対応・T-LINK対応,● 純正連携／ミラーリング
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● 小安、こんにちは,● 小安、こんにちは,-,-,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,-,-,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,-,-,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,-,-,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,-,-,-,-,-,-,-,-,-,○
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,-,-,-,-,-,-,-,○
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,-,-,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● 天枢インテリジェントコックピット,● 天枢インテリジェントコックピット,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチスクリーン操作,●,●,-,-,●,●,●,●,●,●,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認／診断・車両位置特定／車両探索,● エアコン操作・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・ライト操作・エアコン操作・シートヒーター・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・ライト操作・エアコン操作・シートヒーター・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認／診断・車両位置特定／車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・車両状態確認／診断・車両位置特定／車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,○,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB,● USB,● USB・SDカード,● USB・SDカード,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB・SDカード
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,● 15W,● 15W,● 50W,● 50W,● 50W,● 50W,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,-,-,-,-,-,-,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・高さ調整（2方向）・レッグレスト調整・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・レッグレスト調整・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・レッグレスト調整・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・レッグレスト調整・ランバーサポート（4方向）,● 前後調整・リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● 加熱,● 加熱・ベンチレーション,-,● 加熱,● 加熱,● 加熱,● 加熱・ベンチレーション・マッサージ（助手席のみ）,● 加熱・ベンチレーション・マッサージ（助手席のみ）・ヘッドレストスピーカー（運転席のみ）,● 加熱・ベンチレーション・マッサージ（助手席のみ）,● 加熱・ベンチレーション・マッサージ（助手席のみ）・ヘッドレストスピーカー（運転席のみ）,加熱・ベンチレーション（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,-,-,-,● 加熱・ベンチレーション,-,● 加熱・ベンチレーション,-
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,-,-,-,-,-,● 助手席,● 助手席,● 助手席,● 助手席,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,●,-,●,-,-,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,● Pioneer（パイオニア）,-,● Pioneer（パイオニア）,○ SONY（ソニー）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 14スピーカー,● 6スピーカー,● 14スピーカー,6スピーカー 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,○ 64色,-,-,-,● 256色,-,● 256色,○ 64色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,-,-,-,-,●
特色配置,特徴装備,遥控代客泊车系统,リモートバレーパーキングシステム,-,-,-,-,-,-,-,-,-,-,-
特色配置,特徴装備,原生车载微信,純正車載WeChat,-,-,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー、ネビュラグロー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー、ネビュラグロー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー、ネビュラグロー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー、ネビュラグロー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー、ネビュラグロー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー、ネビュラグロー,アンデスグレー、プレミアムブラック、クリスタルホワイト、アトミックグレー、スカイブルー
颜色,カラー,内饰颜色,内装色,ブラック／ミステリーレッド、スモークグレー／ブラック,ブラック／ミステリーレッド、スモークグレー／ブラック,ブラック／ミステリーレッド、スモークグレー／ブラック,ブラック／ミステリーレッド、スモークグレー／ブラック,ミステリーレッド、スモークブラウン、ヒートウェーブオレンジ、ミッドナイトブラック,ミステリーレッド、スモークブラウン、ヒートウェーブオレンジ、ミッドナイトブラック,ミステリーレッド、スモークブラウン、ヒートウェーブオレンジ、ミッドナイトブラック,ミステリーレッド、スモークブラウン、ヒートウェーブオレンジ、ミッドナイトブラック,ミステリーレッド、スモークブラウン、ヒートウェーブオレンジ、ミッドナイトブラック,ミステリーレッド、スモークブラウン、ヒートウェーブオレンジ、ミッドナイトブラック,ブラック／ミステリーレッド、スモークグレー／ブラック
选装包,オプションパッケージ,舒享驾乘包,快適ドライブパッケージ,-,-,-,-,-,-,-,-,-,-,○ 含む：IMS、シームレスデュアルスクリーン、前席二重防音ガラス、SONYオーディオ＋8スピーカー、多色アンビエントライト＋運転席シートベンチレーション＋4方向ランバーサポート（オプション 4999元）
