セクション,項目,航海家 2026款 2.0T 两驱启航版,航海家 2026款 2.0T 四驱尊享版,航海家 2026款 2.0T 四驱尊逸版,航海家 2026款 2.0T 四驱尊睿版,航海家 2026款 2.0T 四驱总裁版,航海家 2026款 2.0T 四驱尊逸混动版,航海家 2026款 2.0T 四驱尊睿混动版,航海家 2026款 2.0T 四驱总统混动版,航海家 2025款 改款 2.0T 四驱尊享版,航海家 2025款 改款 2.0T 四驱尊逸版,航海家 2025款 2.0T 四驱尊睿版,航海家 2025款 2.0T 四驱亚特兰蒂斯版,航海家 2025款 改款 2.0T 四驱尊逸混动版,航海家 2025款 2.0T 四驱尊睿混动版,航海家 2025款 2.0T 四驱总统混动版
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸,● 11.1英寸 23.6英寸
屏幕/系统,中控屏幕类型,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED
屏幕/系统,中控屏幕分辨率,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯,● 你好，林肯
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,后排液晶屏幕,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●
屏幕/系统,后排液晶屏幕尺寸,-,-,-,-,-,-,● 5.8英寸,● 5.8英寸,-,-,-,-,-,● 5.8英寸,● 5.8英寸
屏幕/系统,后排多媒体屏幕数量,-,-,-,-,-,-,● 1个,● 1个,-,-,-,-,-,● 1个,● 1个
屏幕/系统,后排控制多媒体,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●
屏幕/系统,车机系统内存(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,V2X通讯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 方向盘加热 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车
智能化配置,主动降噪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,●,●,-,●,●,-,-,●,●,-,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸,● 23.6英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,-,● 前排,● 前排,-,● 前排,● 前排,-,-,● 前排,● 前排,-,● 前排,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 真皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 真皮,● 皮/翻毛材质混搭,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,-,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节
座椅配置,第二排座椅电动调节,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●
座椅配置,第二排座椅功能,-,-,-,-,-,-,● 加热 通风 按摩,● 加热 通风 按摩,-,-,-,-,-,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,● Revel锐威,● Revel锐威,-,● Revel锐威,● Revel锐威,-,-,● Revel锐威,● Revel锐威,-,● Revel锐威,● Revel锐威
音响/车内灯光,扬声器数量,● 9喇叭,● 9喇叭,● 9喇叭,● 14喇叭,● 28喇叭,● 9喇叭,● 14喇叭,● 28喇叭,● 9喇叭,● 9喇叭,● 14喇叭,● 14喇叭,● 9喇叭,● 14喇叭,● 28喇叭
音响/车内灯光,车内环境氛围灯,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,-,●,●,-,●,●,-,-,●,●,-,●,●
空调/冰箱,空气质量监测,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰 流光银,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰 流光银,海湾蓝 逐浪白 ￥2000 深海黑 砾岩灰 烟波灰 流光银,铂钻白 ￥2000 瀚金黑 鱼子酱灰 海湾蓝,铂钻白 ￥2000 瀚金黑 鱼子酱灰 海湾蓝,铂钻白 ￥2000 瀚金黑 鱼子酱灰 海湾蓝,珊瑚红,铂钻白 ￥2000 瀚金黑 鱼子酱灰 电光银 海湾蓝,铂钻白 ￥2000 瀚金黑 鱼子酱灰 电光银 海湾蓝,铂钻白 ￥2000 瀚金黑 鱼子酱灰 电光银 海湾蓝
颜色,内饰颜色,珍珠黑,珍珠黑,母贝灰 珍珠黑 珊瑚棕,母贝灰 珍珠黑 珊瑚棕,谧海之境,母贝灰 珍珠黑 珊瑚棕,母贝灰 珍珠黑 珊瑚棕,海洋之心,曜岩黑,曜岩黑 木星棕 母贝灰,曜岩黑 木星棕 母贝灰,珍珠黑,曜岩黑 木星棕,曜岩黑 木星棕,流光雅宴
