セクション,項目,别克GL8新能源 2026款 陆尊 智享版,别克GL8新能源 2026款 陆尊 尊享版,别克GL8新能源 2026款 陆尊 奢享版,别克GL8新能源 2025款 陆尚 先享版 7座,别克GL8新能源 2025款 陆尚 智享版 7座,别克GL8新能源 2025款 陆尚 尊享版 7座,别克GL8新能源 2024款 陆尊 智享版 7座,别克GL8新能源 2024款 陆尊 尊享版 7座,别克GL8新能源 2024款 陆尊 奢享版 7座,别克GL8新能源 2024款 陆尊 奢享版 6座
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-,● 12.3英寸,● 12.3英寸,● 12.3英寸,-,-,-,-
方向盘/内后视镜,HUD抬头数字显示,-,-,●,-,-,-,-,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排6个,● 前排2个/后排6个,● 前排2个/后排6个,● 前排2个/后排6个,● 前排2个/后排6个,● 前排2个/后排6个,● 前排2个/后排4个,● 前排2个/后排6个,● 前排2个/后排6个,● 前排2个/后排6个
车内充电,USB/Type-C最大充电功率,● 45W,● 45W,● 45W,-,-,-,● 45W,● 45W,● 45W,● 45W
车内充电,手机无线充电功能,● 后排,● 前排 后排,● 前排 后排,-,-,● 前排,-,● 前排 后排,● 前排 后排,● 前排 后排
车内充电,手机无线充电功率,-,-,-,-,-,● 50W,-,-,-,-
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风 按摩(仅驾驶位),● 加热 通风 按摩(仅驾驶位),● 加热 通风 按摩(仅驾驶位),-,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,● 驾驶位,● 驾驶位,-,-,-,-,-,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,●,●,-,-,●,-,●,●,●
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腰部调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节
座椅配置,第二排座椅电动调节,●,●,●,-,-,●,●,●,●,●
座椅配置,第二排座椅功能,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,-,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,后排小桌板,●,●,●,-,-,●,●,●,●,●
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●
座椅配置,第三排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,-,-,-,● 靠背调节,● 靠背调节,● 靠背调节,● 前后调节 靠背调节
座椅配置,第三排座椅电动调节,●,●,●,-,-,-,-,●,●,●
座椅配置,第三排座椅功能,-,-,-,-,-,-,-,-,-,● 加热 通风
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-
座椅配置,后排座椅电动放倒,●,●,●,-,-,-,-,●,●,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●
座椅配置,前后移动扶手箱,-,-,-,-,-,-,-,○,○,○
音响/车内灯光,扬声器品牌名称,-,● BOSE,● BOSE,-,-,-,-,● BOSE,● BOSE,● BOSE
音响/车内灯光,扬声器数量,● 8喇叭,● 12喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 12喇叭,● 12喇叭
音响/车内灯光,车内环境氛围灯,● 单色,● 单色,● 128色,-,-,● 单色,● 单色,● 单色,● 128色,● 128色
音响/车内灯光,主动式环境氛围灯,-,-,●,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,●,●,●,●,●,-,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,●,-,-,-,-,-,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,-,-,-,●,●,●,●
空调/冰箱,负离子发生器,-,-,●,-,-,-,-,-,-,-
空调/冰箱,车内香氛装置,●,●,●,-,-,-,●,●,●,●
空调/冰箱,空气质量监测,-,-,●,-,-,-,-,-,●,●
空调/冰箱,车载冰箱,●,●,●,-,-,-,-,○ (2500元),○ (2500元),○ (2500元)
颜色,外观颜色,极光银 珍珠白 紫气东来,极光银 珍珠白 紫气东来,极光银 珍珠白 紫气东来,极光银 珍珠白 沧海蓝 玄玉墨,极光银 珍珠白 沧海蓝 玄玉墨,极光银 珍珠白 沧海蓝 玄玉墨,极光银 宝石红 珍珠白,极光银 宝石红 珍珠白,极光银 宝石红 珍珠白 帝王蓝,极光银 珍珠白 帝王蓝
颜色,内饰颜色,霞灰月黛,霞紫月白/白色,霞紫月白/白色,林深棕 烟霞灰 云柔米,林深棕 烟霞灰 云柔米,林深棕 烟霞灰 云柔米,玄武月白,玄武月白,黛蓝/月白 玄武月白,黛蓝/月白
