セクション,セクション_ja,項目,項目_ja,2026年モデル エクセレント 280TSI ビジネス版,2026年モデル Pro 300TSI ドラゴン耀版,2026年モデル Pro 300TSI 星空ドラゴン耀版,2026年モデル エクセレント 330TSI エリート版,2026年モデル エクセレント 330TSI 星空エリート版,2026年モデル エクセレント 380TSI ドラゴン騰版,2026年モデル エクセレント 380TSI 星空ドラゴン騰版,2026年モデル エクセレント 380TSI ドラゴン耀版,2026年モデル エクセレント 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン耀版,2026年モデル Pro 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン運版,2026年モデル Pro 380TSI 星空ドラゴン運版,2026年モデル Pro 380TSI ドラゴン尊版,2026年モデル Pro 380TSI 星空ドラゴン尊版,2026年モデル Pro 380TSI 行政版,2025年モデル エクセレント 280TSI ビジネス版,2025年モデル Pro 300TSI ドラゴン耀版,2025年モデル Pro 300TSI 星空ドラゴン耀版,2025年モデル エクセレント 330TSI エリート版,2025年モデル エクセレント 330TSI 星空エリート版,2025年モデル エクセレント 380TSI ドラゴン騰版,2025年モデル エクセレント 380TSI 星空ドラゴン騰版,2025年モデル エクセレント 380TSI ドラゴン耀版,2025年モデル エクセレント 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン耀版,2025年モデル Pro 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン運版,2025年モデル Pro 380TSI 星空ドラゴン運版,2025年モデル Pro 380TSI ドラゴン尊版,2025年モデル Pro 380TSI 星空ドラゴン尊版
变速箱,トランスミッション,变速箱类型,トランスミッション形式,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,245/45 R18 または 245/40 R19（1500元）,245/45 R18 または 245/40 R19（1500元）,245/45 R18 または 245/40 R19（1500元）,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,245/45 R18 または 245/40 R19（1500元）,245/45 R18 または 245/40 R19（1500元）,245/45 R18 または 245/40 R19（1500元）,● 245/40 R19,● 245/40 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,245/45 R18 または 245/40 R19,245/45 R18 または 245/40 R19,245/45 R18 または 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,245/45 R18 または 245/40 R19,245/45 R18 または 245/40 R19,245/45 R18 または 245/40 R19,● 245/40 R19,● 245/40 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 全席,● 全席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 前席,● 全席,● 全席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前 / 後,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前 / 後,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,-,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,バックカメラ 360度全方位カメラ,バックカメラ 360度全方位カメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼,● 単眼,-,-,-,-,● 単眼,● 単眼,● 単眼,● 単眼,単眼 複眼,単眼 複眼,● 単眼 複眼,● 単眼 複眼,● 単眼 複眼,-,● 単眼,● 単眼,-,-,-,-,● 単眼,● 単眼,● 単眼,● 単眼,単眼 複眼,単眼 複眼,● 単眼 複眼,● 単眼 複眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 2個,● 2個,● 1個,● 1個,● 1個,● 1個,● 5個,● 5個,● 5個,● 5個,5個 7個,5個 7個,● 7個,● 7個,● 7個,-,● 2個,● 2個,● 1個,● 1個,● 1個,● 1個,● 5個,● 5個,2個 5個,2個 5個,5個 7個,5個 7個,● 7個,● 7個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,● 1個,-,-,-,-,-,-,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,-,-,-,-,-,-,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 12個,● 12個,● 8個,● 8個,● 12個,● 12個,● 12個,● 12個,● 12個,● 4個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 12個,● 12個,● 8個,● 8個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 5個,● 5個,● 1個,● 1個,● 1個,● 1個,● 3個,● 3個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,-,● 5個,● 5個,● 1個,● 1個,● 1個,● 1個,● 3個,● 3個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,○ 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● IQ.ドライブ,● IQ.ドライブ,-,-,-,-,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,IQ.ドライブ IQ.パイロット 強化運転支援2.0（5000元）,IQ.ドライブ IQ.パイロット 強化運転支援2.0（5000元）,● IQ.パイロット 強化運転支援2.0,● IQ.パイロット 強化運転支援2.0,● IQ.パイロット 強化運転支援2.0,-,● IQ.ドライブ,● IQ.ドライブ,-,-,-,-,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,IQ.ドライブ IQ.パイロット（4800元）,IQ.ドライブ IQ.パイロット（4800元）,● IQ.パイロット,● IQ.パイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,-,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,-,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,● テンセント,● テンセント,-,-,-,-,● バイドゥ,● バイドゥ,● テンセント,● テンセント,● テンセント,● テンセント,● テンセント,● テンセント,● テンセント,-,● テンセント,● テンセント,-,-,-,-,-,-,● テンセント,● テンセント,● テンセント,● テンセント,● テンセント,● テンセント
