セクション,項目,帕萨特 2026款 出众款 280TSI 商务版,帕萨特 2026款 Pro 300TSI 龙耀版,帕萨特 2026款 Pro 300TSI 星空龙耀版,帕萨特 2026款 出众款 330TSI 精英版,帕萨特 2026款 出众款 330TSI 星空精英版,帕萨特 2026款 出众款 380TSI 龙腾版,帕萨特 2026款 出众款 380TSI 星空龙腾版,帕萨特 2026款 出众款 380TSI 龙耀版,帕萨特 2026款 出众款 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙耀版,帕萨特 2026款 Pro 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙运版,帕萨特 2026款 Pro 380TSI 星空龙运版,帕萨特 2026款 Pro 380TSI 龙尊版,帕萨特 2026款 Pro 380TSI 星空龙尊版,帕萨特 2026款 Pro 380TSI 行政版,帕萨特 2025款 出众款 280TSI 商务版,帕萨特 2025款 Pro 300TSI 龙耀版,帕萨特 2025款 Pro 300TSI 星空龙耀版,帕萨特 2025款 出众款 330TSI 精英版,帕萨特 2025款 出众款 330TSI 星空精英版,帕萨特 2025款 出众款 380TSI 龙腾版,帕萨特 2025款 出众款 380TSI 星空龙腾版,帕萨特 2025款 出众款 380TSI 龙耀版,帕萨特 2025款 出众款 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙耀版,帕萨特 2025款 Pro 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙运版,帕萨特 2025款 Pro 380TSI 星空龙运版,帕萨特 2025款 Pro 380TSI 龙尊版,帕萨特 2025款 Pro 380TSI 星空龙尊版
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,-,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,DOW开门预警,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
主动安全,道路救援呼叫,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",● 运动,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,-,-,-,-,● 单目,● 单目,● 单目,● 单目,"● 单目
○ 双目","● 单目
○ 双目","● 单目
● 双目","● 单目
● 双目","● 单目
● 双目",-,● 单目,● 单目,-,-,-,-,● 单目,● 单目,● 单目,● 单目,"● 单目
○ 双目","● 单目
○ 双目","● 单目
● 双目","● 单目
● 双目"
驾驶硬件,摄像头数量,-,● 2个,● 2个,● 1个,● 1个,● 1个,● 1个,● 5个,● 5个,● 5个,● 5个,"● 5个
○ 7个","● 5个
○ 7个",● 7个,● 7个,● 7个,-,● 2个,● 2个,● 1个,● 1个,● 1个,● 1个,● 5个,● 5个,"● 2个
○ 5个","● 2个
○ 5个","● 5个
○ 7个","● 5个
○ 7个",● 7个,● 7个
驾驶硬件,车内摄像头数量,-,● 1个,● 1个,-,-,-,-,-,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,-,-,-,-,-,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 12个,● 12个,● 8个,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 4个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 12个,● 12个,● 8个,● 8个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 5个,● 5个,● 1个,● 1个,● 1个,● 1个,● 3个,● 3个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,-,● 5个,● 5个,● 1个,● 1个,● 1个,● 1个,● 3个,● 3个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶功能,巡航系统,○ 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● IQ. Drive,● IQ. Drive,-,-,-,-,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,"● IQ. Drive
○ IQ. Pilot 增强驾驶辅助2.0 (5000元)","● IQ. Drive
○ IQ. Pilot 增强驾驶辅助2.0 (5000元)",● IQ. Pilot 增强驾驶辅助2.0,● IQ. Pilot 增强驾驶辅助2.0,● IQ. Pilot 增强驾驶辅助2.0,-,● IQ. Drive,● IQ. Drive,-,-,-,-,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,"● IQ. Drive
○ IQ. Pilot (4800元)","● IQ. Drive
○ IQ. Pilot (4800元)",● IQ. Pilot,● IQ. Pilot
驾驶功能,辅助驾驶等级,-,● L2,● L2,-,-,-,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,-,-,-,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,-,● 腾讯,● 腾讯,-,-,-,-,● 百度,● 百度,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,-,● 腾讯,● 腾讯,-,-,-,-,-,-,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯
驾驶功能,AR实景导航,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,并线辅助,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●
驾驶功能,遥控泊车,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,记忆泊车,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●,●,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●
驾驶功能,辅助变道,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●,●,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,-,-,-,-,-,-,-,○,○,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,方向盘离手检测,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,-,-,-,-,-,-,-,-,-,○ 高速路段,○ 高速路段,● 高速路段,● 高速路段,● 高速路段,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 运动风格,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 运动风格,-,○ 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●
外观/防盗,感应后备厢,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
○ 蓝牙钥匙 (1198元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)",● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
○ 蓝牙钥匙 (1699元)","● 遥控钥匙
○ 蓝牙钥匙 (1699元)","● 遥控钥匙
○ 蓝牙钥匙 (1699元)","● 遥控钥匙
○ 蓝牙钥匙 (1699元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)","● 遥控钥匙
○ 蓝牙钥匙 (1198元)"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,○,○,-,-,○,○,○,○,○,○,○,○,○,○
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,-,-,-,-,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,-,-,-,-,-,-,-,● 矩阵式,● 矩阵式,○ 矩阵式,○ 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●
车外灯光,转向头灯,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,后排侧窗遮阳帘,-,-,-,-,-,-,-,● 手动,● 手动,-,-,-,-,● 手动,● 手动,● 手动,-,-,-,-,-,-,-,● 手动,● 手动,-,-,-,-,● 手动,● 手动
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
