セクション,セクション_ja,項目,項目_ja,2026年モデル 純享版PURE,2026年モデル PURE+版,2026年モデル ダークナイトPRO版,2025年モデル 純享版,2025年モデル ロングレンジPURE+版,2025年モデル ロングレンジダークナイトPRO版,2025年モデル 高性能ダークナイトPRIME版
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 5.3インチ,● 5.3インチ,● 5.3インチ,● 5.3インチ,● 5.3インチ,● 5.3インチ,● 5.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーター画面素材,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕分辨率（px）,メーター画面解像度（px）,● 860×480,● 860×480,● 860×480,● 860×480,● 860×480,● 860×480,● 860×480
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,○,-,○,-,-,○,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,-,-,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 40W,● 40W,-,-,● 15W,● 15W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 本革／ファブリックコンビ,● 合成皮革,● 本革／ファブリックコンビ,● 本革／ファブリックコンビ,● 合成皮革,● 本革／スエード調コンビ
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター付き,-,● ヒーター ベンチレーション マッサージ機能付き,-,-,● ヒーター ベンチレーション マッサージ機能付き,● ヒーター ベンチレーション マッサージ機能付き
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,● 運転席 助手席,-,-,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,-,-,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,○ Harman/Kardon（ハーマンカードン）,-,-,○ Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 7スピーカー,● 7スピーカー,7スピーカー 10スピーカー,● 7スピーカー,● 7スピーカー,7スピーカー 10スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 30色,-,-,● 30色,● 30色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,-,-,-,○
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,●
颜色,カラー,外观颜色,外装色,極地ホワイト パールホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン エイリアンブルー,極地ホワイト パールホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン エイリアンブルー,極地ホワイト パールホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン エイリアンブルー,極地ホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン,極地ホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン,パールホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン,パールホワイト ギャラクシーグレー スターリーブルー モーニングミストグリーン
颜色,カラー,内饰颜色,内装色,フレッシュエレガントグレー／ブラック,ブラック／グレー フレッシュエレガントグレー／ブラック,グレー／ミステリアスブラック,フレッシュエレガントグレー／ブラック,フレッシュエレガントグレー／ブラック,グレー／ミステリアスブラック,オブシディアンスポーティブラック
选装包,オプションパッケージ,舒享加热包,快適ヒーターセット,○ 含む：前席シートヒーター、加熱機能付きマイクロファイバー製ステアリングホイール、Travel Assist 2.0（オプション・価格未定）,-,-,-,-,-,-
选装包,オプションパッケージ,IQ.Light LED高级前大灯,IQ.Light LEDハイグレードヘッドライト,○ 含む：フロント貫通式LEDライトバー、前後発光VWエンブレム、テールランプ流れるウインカー機能、ID.Welcome前後動的ウェルカムモード、AFSヘッドライト可変照射機能（オプション・価格未定）,-,-,-,-,-,-
选装包,オプションパッケージ,CO2热泵空调包,CO2ヒートポンプエアコンパッケージ,-,-,-,-,-,-,"○ 含む：CO2ヒートポンプエアコンシステム、フロントガラス洗浄ノズルヒーター、フロントガラスヒーター（オプション・9,000元）"
