セクション,項目,揽巡 2026款 330TSI 精英巡行 众享款,揽巡 2026款 330TSI 豪华巡逸 众享款,揽巡 2026款 380TSI 四驱R-Line巡游 众享款,揽巡 2026款 380TSI 四驱R-Line巡礼 众享款,揽巡 2026款 380TSI 四驱R-Line巡礼 曜夜版,揽巡 2025款 330TSI 精英巡行 众享款,揽巡 2025款 330TSI 豪华巡逸 众享款,揽巡 2025款 380TSI 四驱R-Line巡游 众享款,揽巡 2025款 380TSI 四驱R-Line巡礼 众享款,揽巡 2025款 380TSI 四驱R-Line巡礼 曜夜版,揽巡 2026款 450TSI 四驱R-Line基本型
座椅配置,主/副驾驶座电动调节,主 ● / 副-,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-
座椅配置,前排座椅功能,○ 加热,○ 加热,"○ 加热
● 通风","○ 加热
● 通风","○ 加热
● 通风",○ 加热,○ 加热,"○ 加热
● 通风","○ 加热
● 通风","○ 加热
● 通风",-
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,● 驾驶位,● 驾驶位,-,-,● 驾驶位,● 驾驶位,● 驾驶位,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-
座椅配置,第二排座椅功能,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,扬声器品牌名称,-,-,○ Harman/Kardon哈曼卡顿 (2000元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,-,-,○ Harman/Kardon哈曼卡顿 (6000元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,-
音响/车内灯光,扬声器数量,● 9喇叭,● 9喇叭,"● 9喇叭
○ 14喇叭",● 14喇叭,● 14喇叭,● 9喇叭,● 9喇叭,"● 9喇叭
○ 14喇叭",● 14喇叭,● 14喇叭,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,车内环境氛围灯,-,● 30色,● 30色,● 30色,● 30色,-,● 30色,● 30色,● 30色,● 30色,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,-
空调/冰箱,后排独立空调,○,○,●,●,●,○,○,●,●,●,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,车载空气净化器,-,-,-,-,-,●,●,●,●,●,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,●,●,●,●,●,-
空调/冰箱,空气质量监测,-,-,-,-,-,●,●,●,●,●,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–
选装包,高档冬季包,○ 选配 (3500元),○ 选配 (3500元),-,-,-,○ 选配 (3500元),○ 选配 (3500元),-,-,-,-
选装包,高亮黑外饰包,-,-,○ 选配 (暂无价格),-,-,-,-,-,-,-,-
选装包,隐私增强包,-,-,○ 选配 (1500元),○ 选配 (1500元),○ 选配 (1500元),-,-,○ 选配 (1500元),○ 选配 (1500元),○ 选配 (1500元),-
选装包,冬日暖心包,-,-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),-,-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),-
选装包,全景可视泊车系统包,-,-,○ 选配 (3000元),-,-,-,-,-,-,-,-
选装包,21英寸车轮包,-,-,○ 选配 (3000元),-,-,-,-,○ 选配 (2000元),-,-,-
选装包,豪华冬季包,-,-,○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),-,-,○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),-
选装包,黑光包,-,-,-,-,-,-,-,○ 选配 (6000元),-,-,-
