セクション,項目,捷达VS5 2026款 280TSI 手动先锋版,捷达VS5 2026款 280TSI 手动好运Plus版,捷达VS5 2026款 280TSI 自动先锋版,捷达VS5 2026款 280TSI 自动好运Plus版,捷达VS5 2026款 280TSI 手动悦享版,捷达VS5 2026款 280TSI 自动悦享版,捷达VS5 2026款 280TSI 自动悦享高光版,捷达VS5 2026款 280TSI 自动荣耀高光版,捷达VS5 2026款 280TSI 自动旗舰高光版,捷达VS5 2025款 280TSI 手动好运Plus版,捷达VS5 2025款 280TSI 自动好运Plus版,捷达VS5 2024款 280TSI 手动先锋版,捷达VS5 2024款 280TSI 自动先锋版,捷达VS5 2024款 280TSI 手动悦享版,捷达VS5 2024款 280TSI 自动悦享版,捷达VS5 2024款 280TSI 自动悦享高光版,捷达VS5 2024款 280TSI 自动荣耀高光版,捷达VS5 2024款 280TSI 自动旗舰高光版
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
○ 亿连","● 支持CarPlay
● 原厂互联/映射
○ 亿连","● 支持CarPlay
● 原厂互联/映射
○ 亿连","● 支持CarPlay
● 原厂互联/映射
○ 亿连","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射",-,"● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射",-
屏幕/系统,语音识别控制系统,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,"● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,● 你好，捷达,● 你好，捷达,● 你好，捷达,● 你好，捷达,● 你好，捷达,● 你好，捷达,● 你好，捷达,● 你好，捷达,● 你好，捷达,-,-,-,-,-,-,-,-,● 你好，捷达
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,-,-,-,-,-,-,● 双区域
屏幕/系统,车载智能系统,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Connect,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Link,● J-Connect
智能化配置,车联网,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●
智能化配置,4G/5G网络,-,-,-,-,-,-,-,-,● 4G,-,-,-,-,-,-,-,-,● 4G
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,Wi-Fi热点,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,"● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色",● 彩色,● 彩色,"● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色","● 单色
○ 彩色",● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),● 8英寸,● 8英寸,○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),○ 8英寸 (1000元),● 8英寸,● 8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,主 ○ / 副-,主 ○ / 副-,主 ○ / 副-,主 ● / 副-,主 ● / 副-,-,-,-,-,主 ○ / 副-,主 ○ / 副-,主 ○ / 副-,主 ● / 副-,主 ● / 副-
座椅配置,前排座椅功能,-,-,-,-,○ 加热,○ 加热,○ 加热,● 加热,● 加热,-,-,-,-,○ 加热,○ 加热,○ 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,● 单色,● 单色,● 单色,● 单色,● 多色,-,-,-,-,● 单色,● 单色,● 单色,● 单色,● 多色
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,"● 手动空调
○ 自动空调","● 手动空调
○ 自动空调","● 手动空调
○ 自动空调",● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,"● 手动空调
○ 自动空调","● 手动空调
○ 自动空调","● 手动空调
○ 自动空调",● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,●,●,●,●,●,-,-,-,-,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,○,○,○,●,●,-,-,-,-,○,○,○,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,便捷包,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),-,-,-,-,-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),-,-,-,-,-
选装包,舒适包,-,-,-,-,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),-,-,-,-,-,-,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),-,-
