セクション,セクション_ja,項目,項目_ja,2025年モデル eDrive25L Xデザインパッケージ,2025年モデル eDrive25L Mスポーツパッケージ,2025年モデル xDrive30L Xデザインパッケージ,2025年モデル xDrive30L Mスポーツ曜夜パッケージ,2023年モデル eDrive25L Xデザインパッケージ,2023年モデル eDrive25L Mスポーツパッケージ,2023年モデル xDrive30L Xデザインパッケージ,2023年モデル xDrive30L Mスポーツパッケージ
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●,-,-,-,-
智能化配置,スマート機能装備,模拟声浪,シミュレートエンジンサウンド,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ (9000元),○ (9000元),●,●,○ (9000元),○ (9000元),●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩","● 手動防眩
○ 自動防眩"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ (1000元),○ (1000元),●,●,○ (1000元),○ (1000元),●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,"● 前席2個／後席1個
○ 前席2個／後席2個","● 前席2個／後席1個
○ 前席2個／後席2個",● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,○ 前席 (2000元),○ 前席 (2000元),● 前席,● 前席,○ 前席 (2000元),○ 前席 (2000元),● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,"● 合成皮革
○ 本革／アルカンターラコンビ",● 合成皮革,"○ 合成皮革
● 本革／アルカンターラコンビ",● 合成皮革,"● 合成皮革
○ 本革／スエードコンビ",● 合成皮革,● 本革／スエードコンビ
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,-,○ (5000元),●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元)
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Harman/Kardon（ハーマンカードン） (5000元),○ Harman/Kardon（ハーマンカードン） (5000元),● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン） (5000元),○ Harman/Kardon（ハーマンカードン） (5000元),● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 6スピーカー
○ 12スピーカー","● 6スピーカー
○ 12スピーカー",● 12スピーカー,● 12スピーカー,"● 6スピーカー
○ 12スピーカー","● 6スピーカー
○ 12スピーカー",● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,-,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,舒享套装,快適パッケージ,○ オプション (2500元),○ オプション (2500元),-,-,-,-,-,-
选装包,オプションパッケージ,舒适套装,コンフォートパッケージ,○ オプション (5500元),○ オプション (5500元),-,-,-,-,-,-
选装包,オプションパッケージ,智能泊车辅助Plus套装,スマートパークアシストPlusパッケージ,○ オプション (6000元),○ オプション (6000元),○ オプション (6000元),○ オプション (6000元),-,-,-,-
选装包,オプションパッケージ,智能驾驶辅助系统Plus,スマートドライビングアシストPlus,○ オプション (6000元),○ オプション (6000元),○ オプション (6000元),○ オプション (6000元),-,-,-,-
选装包,オプションパッケージ,智能泊车辅助Pro套装,スマートパークアシストProパッケージ,○ オプション (13000元),○ オプション (13000元),○ オプション (8000元),○ オプション (8000元),-,-,-,-
选装包,オプションパッケージ,智能驾驶辅助Pro套装,スマートドライビングアシストProパッケージ,○ オプション (27500元),○ オプション (27500元),○ オプション (18800元),○ オプション (18800元),-,-,-,-
选装包,オプションパッケージ,M运动版套装Pro,MスポーツパッケージPro,-,○ オプション (2000元),-,-,-,-,-,-
选装包,オプションパッケージ,自动泊车辅助系统Plus,自動駐車アシストシステムPlus,-,-,-,-,○ オプション (5500元),○ オプション (5500元),○ オプション (5500元),○ オプション (5500元)
选装包,オプションパッケージ,自动驾驶辅助系统Plus,自動運転アシストシステムPlus,-,-,-,-,○ オプション (6000元),○ オプション (6000元),-,-
选装包,オプションパッケージ,自动驾驶辅助系统Pro,自動運転アシストシステムPro,-,-,-,-,○ オプション (27500元),○ オプション (27500元),○ オプション (14500元),○ オプション (14500元)
选装包,オプションパッケージ,增强型驾驶辅助功能,強化ドライバーアシスト機能,-,-,-,-,-,-,○ オプション (6000元),○ オプション (6000元)
