セクション,項目,驱逐舰05 2025款 DM-i 55KM 畅行版,驱逐舰05 2025款 DM-i 120KM 畅行版,驱逐舰05 2024款 荣耀版 DM-i 55KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 55KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊荣型,驱逐舰05 2024款 荣耀版 DM-i 120KM 旗舰型,驱逐舰05 2024款 DM-i 55KM 领航荣耀版,驱逐舰05 2024款 DM-i 120KM 领航荣耀版
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,-,● 前排,● 前排,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,● 主 / 副-,-,● 主 / 副-,● 主 / 副,● 主 / 副,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,● 加热,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-
座椅配置,后排杯架,-,-,-,●,-,●,●,●,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,● 多色,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,●,●,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑,墨石蓝 雪域白 时光灰 魔域黑
颜色,内饰颜色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色
