セクション,項目,威兰达 2024款 2.0L CVT两驱领先版,威兰达 2024款 2.0L CVT两驱都市版,威兰达 2024款 2.0L CVT两驱豪华PLUS版,威兰达 2024款 2.0L CVT四驱豪华PLUS版,威兰达 2024款 2.0L CVT两驱尊贵版,威兰达 2024款 2.0L CVT四驱尊贵版,威兰达 2024款 双擎 2.5L E-CVT两驱都市版,威兰达 2024款 双擎 2.5L E-CVT两驱豪华PLUS版,威兰达 2024款 双擎 2.5L E-CVT四驱豪华PLUS版,威兰达 2024款 双擎 2.5L E-CVT两驱尊贵版,威兰达 2024款 双擎 2.5L E-CVT四驱尊贵版,威兰达 2025款 双擎 2.0L 基本型
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,-
方向盘/内后视镜,全液晶仪表盘,-,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,-
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,●,●,-,-,-,●,●,-
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,● 10英寸,● 10英寸,-,-,-,● 10英寸,● 10英寸,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体,-
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○,○,○,○,-
车内充电,多媒体/充电接口,● USB,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,-
车内充电,USB/Type-C接口数量,● 前排1个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,-
车内充电,手机无线充电功能,-,-,-,-,● 前排,● 前排,-,-,-,● 前排,● 前排,-
车内充电,行李厢12V电源接口,-,●,●,●,●,●,●,●,●,●,●,-
座椅配置,座椅材质,● 织物,● 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),-
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,-
座椅配置,主/副驾驶座电动调节,-,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-
座椅配置,前排座椅功能,-,-,-,-,● 加热 通风,● 加热 通风,-,-,-,● 加热 通风,● 加热 通风,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,-
音响/车内灯光,车内环境氛围灯,-,-,-,-,● 单色,● 单色,-,-,-,● 单色,● 单色,-
空调/冰箱,空调温度控制方式,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,-
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,温度分区控制,-,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,车载空气净化器,-,-,-,-,●,●,-,-,-,●,●,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,负离子发生器,-,-,-,-,●,●,-,-,-,●,●,-
颜色,外观颜色,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 钛辉银,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 钛辉银,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 钛辉银,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,墨晶黑 铂金珍珠白 ￥2000 欧泊银 墨玉蓝 ￥2000 黑色/铂金珍珠白 ￥4000 黑色/欧泊银 ￥2000 钛辉银 黑色/钛辉银 ￥2000,-
颜色,内饰颜色,黑色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,黑色 米色,-
