セクション,セクション_ja,項目,項目_ja,2024年モデル 2.0L CVT 2WD 先進版,2024年モデル 2.0L CVT 2WD 都市版,2024年モデル 2.0L CVT 2WD 豪華PLUS版,2024年モデル 2.0L CVT 4WD 豪華PLUS版,2024年モデル 2.0L CVT 2WD 尊貴版,2024年モデル 2.0L CVT 4WD 尊貴版,2024年モデル ハイブリッド 2.5L E CVT 2WD 都市版,2024年モデル ハイブリッド 2.5L E CVT 2WD 豪華PLUS版,2024年モデル ハイブリッド 2.5L E CVT 4WD 豪華PLUS版,2024年モデル ハイブリッド 2.5L E CVT 2WD 尊貴版,2024年モデル ハイブリッド 2.5L E CVT 4WD 尊貴版,2025年モデル ハイブリッド 2.0L ベーシックモデル
驾驶功能,運転機能,导航路况信息显示,ナビ渋滞情報表示,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,●,●,-,-,-,●,●,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,●,●,-,-,-,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,-,-,●,●,-,-,-,●,●,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,●,●,●,●,-,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキー（キー不要）,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,-,-,-,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・ウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・ウインドウ）,-,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・ウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・ウインドウ）,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,-,-,● こんにちは、小悦（音声認識システム名）,● こんにちは、小悦（音声認識システム名）,-,-,-,● こんにちは、小悦（音声認識システム名）,● こんにちは、小悦（音声認識システム名）,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,-,-,● シングルゾーン,● シングルゾーン,-,-,-,● シングルゾーン,● シングルゾーン,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,-,-,●,●,-,-,-,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,-,-,● 4G対応,● 4G対応,-,-,-,● 4G対応,● 4G対応,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,●,●,-,-,-,●,●,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 4.2インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,●,●,-,-,-,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイサイズ,-,-,-,-,● 10インチ,● 10インチ,-,-,-,● 10インチ,● 10インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目・デジタルインナーミラー（流媒体）,● 自動防眩目・デジタルインナーミラー（流媒体）,-
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○,○,○,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USBポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,● 前席,-,-,-,● 前席,● 前席,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,-,●,●,●,●,●,●,●,●,●,●,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革,● 本革・合成皮革,● 本革・合成皮革,● 本革・合成皮革,● 本革・合成皮革,● 合成皮革,● 本革・合成皮革,● 本革・合成皮革,● 本革・合成皮革,● 本革・合成皮革,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（2方向）,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,-,-,-,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,● 単色,● 単色,-,-,-,● 単色,● 単色,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,●,●,-,-,-,●,●,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,●,●,-,-,-,●,●,-
颜色,カラー,外观颜色,外装色,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・チタンシルバー,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・チタンシルバー,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・チタンシルバー,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,墨晶ブラック・プラチナパールホワイト ￥2000・オパールシルバー・墨玉ブルー ￥2000・ブラック／プラチナパールホワイト ￥4000・ブラック／オパールシルバー ￥2000・チタンシルバー・ブラック／チタンシルバー ￥2000,-
颜色,カラー,内饰颜色,内装色,ブラック,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,ブラック・ベージュ,-
