セクション,項目,智界R7 2026款 增程 Max,智界R7 2026款 增程 Max+,智界R7 2026款 增程 Ultra,智界R7 2026款 纯电 Max,智界R7 2026款 纯电 Max+,智界R7 2026款 纯电 UItra,智界R7 2025款 增程 251km Pro,智界R7 2025款 增程 251km Max,智界R7 2025款 增程 360km Max,智界R7 2025款 增程 331km Ultra,智界R7 2024款 纯电 667km Pro,智界R7 2024款 纯电 667km Max,智界R7 2024款 纯电 802km Max,智界R7 2024款 纯电 736km UItra
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,○,○,○,○,○,○,○,○,○,○,○,○,○,○
驾驶功能,循迹倒车,●,●,●,●,●,●,-,●,●,●,-,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,-,-,-,-,-,-,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●,●,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 16.1英寸,● 16.1英寸,● 16.1英寸,● 16.1英寸,● 16.1英寸,● 16.1英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕分辨率,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
屏幕/系统,语音助手唤醒词,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,声纹识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,"● 手动上下+前后调节
○ 电动上下+前后调节","● 手动上下+前后调节
○ 电动上下+前后调节",● 电动上下+前后调节,"● 手动上下+前后调节
○ 电动上下+前后调节","● 手动上下+前后调节
○ 电动上下+前后调节",● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,○,○,●,○,○,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,USB/Type-C最大充电功率,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
○ 高低调节(2向)
● 高低调节(4向)
○ 腿托调节
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
○ 高低调节(2向)
● 高低调节(4向)
○ 腿托调节
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
○ 按摩
● 按摩(仅驾驶位)
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅驾驶位)
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅驾驶位)
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅驾驶位)
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,○,●,●,○,●,●,○,●,●,●,○,●,●,●
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,"○ 加热
○ 通风
○ 按摩","○ 加热
○ 通风
○ 按摩","● 加热
● 通风
● 按摩","○ 加热
○ 通风
○ 按摩","○ 加热
○ 通风
○ 按摩","● 加热
● 通风
● 按摩","○ 加热
○ 通风
○ 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","○ 加热
○ 通风
○ 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,零重力座椅,"○ 主驾驶
○ 副驾驶 (10000元)","○ 主驾驶
● 副驾驶","● 主驾驶
● 副驾驶","○ 主驾驶
○ 副驾驶 (10000元)","○ 主驾驶
● 副驾驶","● 主驾驶
● 副驾驶",○ 副驾驶 (10000元),● 副驾驶,● 副驾驶,● 副驾驶,○ 副驾驶 (10000元),● 副驾驶,● 副驾驶,● 副驾驶
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND
音响/车内灯光,扬声器数量,"● 19喇叭
○ 21喇叭","● 19喇叭
○ 21喇叭",● 21喇叭,"● 19喇叭
○ 21喇叭","● 19喇叭
○ 21喇叭",● 21喇叭,"● 15喇叭
○ 17喇叭",● 17喇叭,● 17喇叭,● 17喇叭,"● 15喇叭
○ 17喇叭",● 17喇叭,● 17喇叭,● 17喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
