セクション,セクション_ja,項目,項目_ja,2025年モデル 510 Air,2025年モデル 510 Pro,2025年モデル 510 Max,2025年モデル 625 Pro,2025年モデル 625 Max
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,12スピーカー 14スピーカー,12スピーカー 14スピーカー,12スピーカー 14スピーカー,12スピーカー 14スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）
特色配置,特徴装備,前排座椅AI自适应贴合,前席AI自動適合シート,-,●,●,●,●
颜色,カラー,外观颜色,外装色,オブシディアンブラック フロストホワイト ￥2000 フローシルバー ￥2000,オブシディアンブラック フロストホワイト ￥2000 フローシルバー ￥2000 オートミール ￥2000 森野グリーン 墨海ブルー ￥2000,オブシディアンブラック フロストホワイト ￥2000 フローシルバー ￥2000 オートミール ￥2000 森野グリーン 墨海ブルー ￥2000,オブシディアンブラック フロストホワイト ￥2000 フローシルバー ￥2000 オートミール ￥2000 森野グリーン 墨海ブルー ￥2000,オブシディアンブラック フロストホワイト ￥2000 フローシルバー ￥2000 オートミール ￥2000 森野グリーン 墨海ブルー ￥2000
颜色,カラー,内饰颜色,内装色,エレガントグレー 森グリーン／スノーホワイト ローズモカ,エレガントグレー 森グリーン／スノーホワイト ローズモカ,エレガントグレー 森グリーン／スノーホワイト ローズモカ,エレガントグレー 森グリーン／スノーホワイト ローズモカ,エレガントグレー 森グリーン／スノーホワイト ローズモカ
选装包,オプションパッケージ,运动包,スポーツパッケージ,-,○ 含む：19インチ5スポーク花弁ホイール、スポーツキャリパーカバー、ウェルカムステップ オプション（1500元）,○ 含む：19インチ5スポーク花弁ホイール、スポーツキャリパーカバー、ウェルカムステップ オプション（1500元）,○ 含む：19インチ5スポーク花弁ホイール、スポーツキャリパーカバー、ウェルカムステップ オプション（1500元）,○ 含む：19インチ5スポーク花弁ホイール、スポーツキャリパーカバー、ウェルカムステップ オプション（1500元）
选装包,オプションパッケージ,科技包,テクノロジーパッケージ,-,○ 含む：運転席デュアルチャンネルヘッドレストスピーカー、昇降式スピーカー、スマートインタラクティブ前後ライト（マジックキャンバス） オプション（8000元）,○ 含む：運転席デュアルチャンネルヘッドレストスピーカー、昇降式スピーカー、スマートインタラクティブ前後ライト（マジックキャンバス） オプション（8000元）,○ 含む：運転席デュアルチャンネルヘッドレストスピーカー、昇降式スピーカー、スマートインタラクティブ前後ライト（マジックキャンバス） オプション（8000元）,○ 含む：運転席デュアルチャンネルヘッドレストスピーカー、昇降式スピーカー、スマートインタラクティブ前後ライト（マジックキャンバス） オプション（8000元）
选装包,オプションパッケージ,副驾AI零压云毯座椅,助手席AIゼロプレッシャークラウドシート,-,○ 含む：助手席AIゼロプレッシャークラウドシート（12方向電動調整） オプション（9888元）,○ 含む：助手席AIゼロプレッシャークラウドシート（12方向電動調整） オプション（9888元）,○ 含む：助手席AIゼロプレッシャークラウドシート（12方向電動調整） オプション（9888元）,○ 含む：助手席AIゼロプレッシャークラウドシート（12方向電動調整） オプション（9888元）
