セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5Lハイブリッド 快適版,2026年モデル 2.5Lハイブリッド 豪華版,2026年モデル 2.5Lハイブリッド プレミアムPLUS版,2026年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2026年モデル 2.5Lハイブリッド プレミアムULTRA版,2026年モデル 2.5Lハイブリッド フラッグシップULTRA版,2026年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版,2026年モデル 2.5Lハイブリッド プレミアムMAX 4WD版,2024年モデル 2.5Lハイブリッド 快適版,2024年モデル 2.5Lハイブリッド 豪華版,2024年モデル 2.5Lハイブリッド プレミアムPLUS版,2024年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2024年モデル 2.5Lハイブリッド プレミアムULTRA版,2024年モデル 2.5Lハイブリッド フラッグシップULTRA版,2024年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 2個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 2個,● 2個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,-,-,● 1個,-,-,-,-,-,-,-,● 1個,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 3個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 3個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,-,-,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",-,-,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側面サンシェード,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,-,-,-,● 雨量感知式,-,● 雨量感知式,-,-,-,-,-,● 雨量感知式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,-,-,-,-,-,-,-,-,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,-,-,-,-,-,-,-,-,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ",-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,-,-,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,-,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後部座席液晶画面,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後部座席液晶画面サイズ,-,-,-,-,-,● 11.6インチ,-,-,-,-,-,-,-,● 11.6インチ,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕类型,後部座席液晶画面タイプ,-,-,-,-,-,● LCD,-,-,-,-,-,-,-,● LCD,-
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後部マルチメディア画面数,-,-,-,-,-,● 1個,-,-,-,-,-,-,-,● 1個,-
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後部マルチメディア操作,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),-,-,● 12,● 12,● 12,● 12,● 12,● 12,-,-,● 12,● 12,● 12,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),-,-,● 128,● 128,● 128,● 128,● 128,● 128,-,-,● 128,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検/修理予約"
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
