セクション,項目,格瑞维亚 2026款 2.5L混动 舒适版,格瑞维亚 2026款 2.5L混动 豪华版,格瑞维亚 2026款 2.5L混动 尊贵PLUS版,格瑞维亚 2026款 2.5L混动 尊贵福祉PLUS版,格瑞维亚 2026款 2.5L混动 尊爵ULTRA版,格瑞维亚 2026款 2.5L混动 旗舰ULTRA版,格瑞维亚 2026款 2.5L混动 尊贵PLUS四驱版,格瑞维亚 2026款 2.5L混动 尊爵MAX四驱版,格瑞维亚 2024款 2.5L混动 舒适版,格瑞维亚 2024款 2.5L混动 豪华版,格瑞维亚 2024款 2.5L混动 尊贵PLUS版,格瑞维亚 2024款 2.5L混动 尊贵福祉PLUS版,格瑞维亚 2024款 2.5L混动 尊爵ULTRA版,格瑞维亚 2024款 2.5L混动 旗舰ULTRA版,格瑞维亚 2024款 2.5L混动 尊贵PLUS四驱版
天窗/玻璃,天窗类型,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,-,-,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
天窗/玻璃,后排侧窗遮阳帘,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,● 雨量感应式,-,● 雨量感应式,-,-,-,-,-,● 雨量感应式,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,中控屏幕类型,-,-,-,-,-,-,-,-,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT
屏幕/系统,中控屏幕分辨率,-,-,-,-,-,-,-,-,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗
屏幕/系统,语音助手唤醒词,-,-,● 你好，丰田,● 你好，丰田,● 你好，丰田,● 你好，丰田,● 你好，丰田,● 你好，丰田,-,-,● 你好，丰田,● 你好，丰田,● 你好，丰田,● 你好，丰田,● 你好，丰田
屏幕/系统,语音免唤醒词,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,-,-,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,-,-,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,可见即可说,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,面部识别,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
屏幕/系统,应用商店,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
屏幕/系统,车机智能芯片,-,-,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,后排液晶屏幕,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
屏幕/系统,后排液晶屏幕尺寸,-,-,-,-,-,● 11.6英寸,-,-,-,-,-,-,-,● 11.6英寸,-
屏幕/系统,后排液晶屏幕类型,-,-,-,-,-,● LCD,-,-,-,-,-,-,-,● LCD,-
屏幕/系统,后排多媒体屏幕数量,-,-,-,-,-,● 1个,-,-,-,-,-,-,-,● 1个,-
屏幕/系统,后排控制多媒体,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
屏幕/系统,车机系统内存(GB),-,-,● 12,● 12,● 12,● 12,● 12,● 12,-,-,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),-,-,● 128,● 128,● 128,● 128,● 128,● 128,-,-,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
智能化配置,4G/5G网络,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
智能化配置,主动降噪,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,● 4.2英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 4.2英寸,● 4.2英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,仪表盘屏幕材质,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT
方向盘/内后视镜,HUD抬头数字显示,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
方向盘/内后视镜,HUD抬头尺寸,-,-,● 10英寸,● 10英寸,● 10英寸,● 10英寸,● 10英寸,● 10英寸,-,-,● 10英寸,● 10英寸,● 10英寸,● 10英寸,● 10英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体,● 自动防眩目,● 自动防眩目 流媒体,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体,● 自动防眩目
方向盘/内后视镜,ETC装置,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB HDMI Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB HDMI Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排6个,● 前排3个/后排4个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排6个,● 前排3个/后排4个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个
车内充电,220V/230V电源,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,● 前排,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 仿皮,● 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热,● 加热,● 加热,● 加热 通风,● 加热,● 加热,-,-,● 加热,● 加热,● 加热,● 加热 通风,● 加热
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节
座椅配置,第二排座椅电动调节,-,-,●,●,●,●,●,●,-,-,-,●,●,●,-
座椅配置,第二排座椅功能,-,-,● 加热 通风,-,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风,● 加热 通风,-,-,-,-,● 加热 通风 按摩,● 加热 通风 按摩,-
座椅配置,福祉座椅,-,-,-,●,-,-,-,-,-,-,-,●,-,-,-
座椅配置,后排小桌板,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,● JBL,-,-,-,-,-,-,-,● JBL,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,●,●,●,●,●,●,●,-,-,-,-,-,●,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
空调/冰箱,车内香氛装置,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
空调/冰箱,空气质量监测,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
颜色,外观颜色,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000,流光银 墨渊黑 碳晶棕 铂金白 ￥2000 墨青蓝 ￥2000
颜色,内饰颜色,典雅黑,典雅黑,典雅黑,典雅黑,黑色/缎奢驼,黑色/缎奢驼,黑色/至尊棕,黑色/至尊棕,黑色/时尚灰,典雅黑,典雅黑,典雅黑,黑色/华贵米,黑色/至尊棕 黑色/华贵米,黑色/至尊棕 典雅黑
