セクション,項目,马自达3 昂克赛拉 2025款 1.5L 手动质美版,马自达3 昂克赛拉 2025款 1.5L 自动质悦版,马自达3 昂克赛拉 2025款 2.0L 自动质擎版,马自达3 昂克赛拉 2025款 2.0L 自动质炫版,马自达3 昂克赛拉 2025款 2.0L 自动质雅版,马自达3 昂克赛拉 2025款 2.0L 自动质耀版,马自达3 昂克赛拉 2025款 2.0L 自动质臻版,马自达3 昂克赛拉 2025款 2.0L 自动质尊版,马自达3 昂克赛拉 2023款 1.5L 手动质美版,马自达3 昂克赛拉 2023款 1.5L 自动质悦版,马自达3 昂克赛拉 2023款 2.0L 自动质擎版,马自达3 昂克赛拉 2023款 2.0L 自动质炫版,马自达3 昂克赛拉 2023款 2.0L 自动质雅版,马自达3 昂克赛拉 2023款 2.0L 自动质耀版,马自达3 昂克赛拉 2023款 2.0L 自动质臻版,马自达3 昂克赛拉 2023款 2.0L 自动质尊版,马自达3 昂克赛拉 2020款 2.0L X压燃尊荣型
屏幕/系统,中控彩色屏幕,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏,● 普通液晶屏
屏幕/系统,中控屏幕尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
屏幕/系统,语音识别控制系统,-,-,-,-,-,-,-,"● 多媒体系统
○ 导航
● 电话",-,-,-,-,-,-,-,"● 多媒体系统
○ 导航
● 电话","● 多媒体系统
● 导航
● 电话"
智能化配置,车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD"
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 织物,● 织物,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,主 ● / 副-,主 ● / 副-,主 ● / 副-,-,-,-,-,-,主 ● / 副-,主 ● / 副-,主 ● / 副-,主 ● / 副-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●
特色配置,i-DM 人马一体驾驶评价系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,云控选装包,○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),-,-,-,-,-,-,-,-,-
选装包,黑曜版配色套装,-,-,-,-,○ 选配 (1000元),○ 选配 (1000元),○ 选配 (1000元),○ 选配 (1000元),-,-,-,-,○ 选配 (1000元),○ 选配 (1000元),○ 选配 (1000元),○ 选配 (1000元),-
