セクション,セクション_ja,項目,項目_ja,2024年モデル 後輪駆動 長距離走行スマートドライブ版,2024年モデル 後輪駆動 超長距離走行上位スマートドライブPro版,2024年モデル 4WD 超長距離走行上位スマートドライブMax版
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,○ (399元),○ (399元),○ (399元)
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,○ (2000元),○ (2000元),○ (2000元)
特色配置,特徴装備,人车家生态空间,人・車・家エコシステムスペース,●,●,●
特色配置,特徴装備,生态拓展空间,エコシステム拡張スペース,●,●,●
颜色,カラー,外观颜色,外装色,湾ブルー オリーブグリーン エレガントグレー 霞光パープル ￥7000 溶岩オレンジ ￥7000 カンブリアグレー ￥7000 流星ブルー ￥7000 パールホワイト ￥7000 ダイヤモンドブラック ￥7000 輝くマゼンタ ￥9000,湾ブルー オリーブグリーン エレガントグレー 霞光パープル ￥7000 溶岩オレンジ ￥7000 カンブリアグレー ￥7000 流星ブルー ￥7000 パールホワイト ￥7000 ダイヤモンドブラック ￥7000 輝くマゼンタ ￥9000,湾ブルー オリーブグリーン エレガントグレー 霞光パープル ￥7000 溶岩オレンジ ￥7000 カンブリアグレー ￥7000 流星ブルー ￥7000 パールホワイト ￥7000 ダイヤモンドブラック ￥7000 輝くマゼンタ ￥9000
颜色,カラー,内饰颜色,内装色,オブシディアンブラック ￥3000 ギャラクシーグレー ￥3000 トワイライトレッド ミストパープル ベージュグレー,オブシディアンブラック ￥3000 ギャラクシーグレー ￥3000 トワイライトレッド ミストパープル ベージュグレー,オブシディアンブラック ￥3000 ギャラクシーグレー ￥3000 トワイライトレッド ミストパープル ベージュグレー
选装包,オプションパッケージ,车载手机支架,車載スマホホルダー,○ 含む：車載スマホホルダー99元、車載ワイヤレス充電スマホホルダー149元 オプション（価格未定）,○ 含む：車載スマホホルダー99元、車載ワイヤレス充電スマホホルダー149元 オプション（価格未定）,○ 含む：車載スマホホルダー99元、車載ワイヤレス充電スマホホルダー149元 オプション（価格未定）
选装包,オプションパッケージ,米家前风挡遮阳伞,Mi Homeフロントガラスサンシェード,○ 含む：Mi家フロントウインドウサンシェード オプション（129元）,○ 含む：Mi家フロントウインドウサンシェード オプション（129元）,○ 含む：Mi家フロントウインドウサンシェード オプション（129元）
选装包,オプションパッケージ,米家车载舒适头枕,Mi Home車載快適ヘッドレスト,○ 含む：Mi家車載快適ヘッドレスト オプション（149元）,○ 含む：Mi家車載快適ヘッドレスト オプション（149元）,○ 含む：Mi家車載快適ヘッドレスト オプション（149元）
选装包,オプションパッケージ,对讲机充电座,トランシーバー充電スタンド,○ 含む：トランシーバー充電スタンド オプション（169元）,○ 含む：トランシーバー充電スタンド オプション（169元）,○ 含む：トランシーバー充電スタンド オプション（169元）
选装包,オプションパッケージ,拾音氛围灯,集音アンビエントライト,○ 含む：集音アンビエントライト オプション（199元）,○ 含む：集音アンビエントライト オプション（199元）,○ 含む：集音アンビエントライト オプション（199元）
选装包,オプションパッケージ,米家多功能强光手电筒,Mi Home多機能強力懐中電灯,○ 含む：Mi家多機能強力懐中電灯 オプション（199元）,○ 含む：Mi家多機能強力懐中電灯 オプション（199元）,○ 含む：Mi家多機能強力懐中電灯 オプション（199元）
选装包,オプションパッケージ,全景天幕遮阳帘,パノラマサンルーフサンシェード,○ 含む：パノラマサンルーフ用サンシェード オプション（299元）,○ 含む：パノラマサンルーフ用サンシェード オプション（299元）,○ 含む：パノラマサンルーフ用サンシェード オプション（299元）
选装包,オプションパッケージ,车载前备箱收纳盒,車載フロントトランク収納ボックス,○ 含む：車載フロントトランク収納ボックス オプション（299元）,○ 含む：車載フロントトランク収納ボックス オプション（299元）,○ 含む：車載フロントトランク収納ボックス オプション（299元）
选装包,オプションパッケージ,车载后备箱收纳盒,車載リアトランク収納ボックス,○ 含む：車載リアトランク収納ボックス オプション（399元）,○ 含む：車載リアトランク収納ボックス オプション（399元）,○ 含む：車載リアトランク収納ボックス オプション（399元）
选装包,オプションパッケージ,椅背平板支架套裝,シートバックタブレットホルダーセット,○ 含む：シートバックタブレットホルダーセット オプション（399元）,○ 含む：シートバックタブレットホルダーセット オプション（399元）,○ 含む：シートバックタブレットホルダーセット オプション（399元）
选装包,オプションパッケージ,智能香氛机套装,スマートアロマディフューザーセット,○ 含む：スマートアロマディフューザーセット オプション（399元）,○ 含む：スマートアロマディフューザーセット オプション（399元）,○ 含む：スマートアロマディフューザーセット オプション（399元）
选装包,オプションパッケージ,小米对讲机3,Xiaomiトランシーバー3,○ 含む：Xiaomiトランシーバー3 オプション（449元）,○ 含む：Xiaomiトランシーバー3 オプション（449元）,○ 含む：Xiaomiトランシーバー3 オプション（449元）
选装包,オプションパッケージ,车载K歌麦克风,車載カラオケマイク,○ 含む：車載カラオケマイク オプション（499元）,○ 含む：車載カラオケマイク オプション（499元）,○ 含む：車載カラオケマイク オプション（499元）
选装包,オプションパッケージ,中控屏物理按鍵,センターコンソール物理ボタン,○ 含む：センターコンソール物理ボタン オプション（499元）,○ 含む：センターコンソール物理ボタン オプション（499元）,○ 含む：センターコンソール物理ボタン オプション（499元）
选装包,オプションパッケージ,户外蓝牙音箱,アウトドアBluetoothスピーカー,○ 含む：アウトドアBluetoothスピーカー オプション（699元）,○ 含む：アウトドアBluetoothスピーカー オプション（699元）,○ 含む：アウトドアBluetoothスピーカー オプション（699元）
选装包,オプションパッケージ,智能双表盘,スマートデュアルメーター,○ 含む：スマートデュアルメーター オプション（699元）,○ 含む：スマートデュアルメーター オプション（699元）,○ 含む：スマートデュアルメーター オプション（699元）
选装包,オプションパッケージ,智能底盘氛围灯,スマートシャーシアンビエントライト,○ 含む：スマートシャーシアンビエントライト オプション（999元）,○ 含む：スマートシャーシアンビエントライト オプション（999元）,○ 含む：スマートシャーシアンビエントライト オプション（999元）
选装包,オプションパッケージ,高性能制动套装,高性能ブレーキセット,○ 含む：高性能ブレーキパッド、高沸点ブレーキオイル オプション（4133元）,○ 含む：高性能ブレーキパッド、高沸点ブレーキオイル オプション（4133元）,○ 含む：高性能ブレーキパッド、高沸点ブレーキオイル オプション（4133元）
选装包,オプションパッケージ,Xiaomi Pilot Pro增强功能,Xiaomi Pilot Pro拡張機能,○ 含む：高速道路ナビアシスト、加減速レーンチェンジ、出入口ランプ、自動速度制御、自動追い越し、コーナー適応、工事回避、大型車2段階回避、渋滞割り込み防止、合流回避 オプション（18000元）,-,-
选装包,オプションパッケージ,Xiaomi HAD,Xiaomi HAD,-,○ 含む：高速道路ナビアシスト（加減速レーンチェンジ、出入口ランプ、自動速度制御、自動追い越し、コーナー適応、工事回避、大型車2段階回避、渋滞割り込み防止、合流回避）、都市ナビアシスト（信号通過、加減速レーンチェンジ、迂回回避、交差点左右折、歩行者譲歩、渋滞割り込み防止、二輪車回避、工事回避、特殊車両認識） オプション（26000元）,○ 含む：高速道路ナビアシスト（加減速レーンチェンジ、出入口ランプ、自動速度制御、自動追い越し、コーナー適応、工事回避、大型車2段階回避、渋滞割り込み防止、合流回避）、都市ナビアシスト（信号通過、加減速レーンチェンジ、迂回回避、交差点左右折、歩行者譲歩、渋滞割り込み防止、二輪車回避、工事回避、特殊車両認識） オプション（26000元）
