セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Max版 52kWh 6人乗り,2025年モデル 増程 Ultra版 52kWh 6人乗り,2025年モデル 純電 Max版 100kWh 6人乗り,2025年モデル 純電 Ultra版 100kWh 6人乗り,2025年モデル 増程 Max版 52kWh 5人乗り,2025年モデル 増程 Ultra版 52kWh 5人乗り,2025年モデル 純電 Ultra版 100kWh 5人乗り,2025年モデル 増程 Ultra版 52kWh 4人乗り,2025年モデル 純電 Ultra版 100kWh 4人乗り
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検出距離,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车载卫星通信,車載衛星通信,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,○,○,○,○,○,○,○,○,○
驾驶功能,運転機能,循迹倒车,トレースバック（軌跡追従）リバース,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,远程召唤,リモートサモン（遠隔呼び出し）,○,○,○,○,○,○,○,○,○
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,-,●,-,●,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应前备厢,感応式フロントトランク,-,-,●,●,-,-,●,-,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,-,-,●,●,-,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,● リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,● 電動,● 電動
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式 ピクセル式,● マトリクス式,● マトリクス式 ピクセル式,● マトリクス式,● マトリクス式 ピクセル式,● マトリクス式 ピクセル式,● マトリクス式 ピクセル式,● マトリクス式 ピクセル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後部側面サンシェード,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排调光隐私玻璃,後部調光プライバシーガラス,-,○ （2万円）,-,○ （2万円）,-,○ （2万円）,○ （2万円）,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ
屏幕/系统,ディスプレイ・システム,副驾屏幕类型,助手席画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション 座席マッサージ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,隐私声盾,プライバシー音声シールド,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS
屏幕/系统,ディスプレイ・システム,后排投影系统,後部座席プロジェクションシステム,○ （2万円）,●,○ （2万円）,●,○ （2万円）,●,●,●,●
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後部座席マルチメディアコントロール,○,●,○,●,○,●,●,●,●
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチスクリーン操作,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内バイオモニタリングシステム,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
智能化配置,スマート機能装備,车载KTV,車載カラオケ（KTV）,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーターパネル画面素材,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 7.5インチ,● 7.5インチ,● 7.5インチ,● 7.5インチ,● 7.5インチ,● 7.5インチ,● 7.5インチ,● 7.5インチ,● 7.5インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,-,-
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマートフォンワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整、リクライニング調整、高さ調整、腰部調整、レッグレスト調整,前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整、リクライニング調整、高さ調整、腰部調整、レッグレスト調整,前後調整、リクライニング調整、高さ調整、レッグレスト調整,前後調整、リクライニング調整、高さ調整、レッグレスト調整,前後調整、リクライニング調整、高さ調整、レッグレスト調整,● 前後調整、リクライニング調整、高さ調整、腰部調整、レッグレスト調整,● 前後調整、リクライニング調整、高さ調整、腰部調整、レッグレスト調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ,● 加熱、換気、マッサージ
座椅配置,シート装備,后排小桌板,後部小テーブル,○,○,○,○,○,○,○,○,○
座椅配置,シート装備,零重力座椅,ゼログラビティシート,○ 2列目（右側） (2.00万元),● 2列目（右側）,○ 2列目（右側） (2.00万元),● 2列目（右側）,○ 2列目（右側） (2.00万元),○ 2列目（右側） (2.00万元),○ 2列目（右側） (2.00万元),● 2列目,● 2列目
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,-,-,-,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,-,-,-,-,-
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,●,●,-,-,-,-,-
座椅配置,シート装備,第三排座椅功能,3列目シート機能,● 加熱,● 加熱,● 加熱,● 加熱,-,-,-,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2,-,-,-,● 2-2,● 2-2
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,-,-
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,●,●,●,●,-,-
