セクション,項目,问界M9 2025款 增程 Max版 52kWh 6座版,问界M9 2025款 增程 Ultra版 52kWh 6座版,问界M9 2025款 纯电 Max版 100kWh 6座版,问界M9 2025款 纯电 Ultra版 100kWh 6座版,问界M9 2025款 增程 Max版 52kWh 5座版,问界M9 2025款 增程 Ultra版 52kWh 5座版,问界M9 2025款 纯电 Ultra版 100kWh 5座版,问界M9 2025款 增程 Ultra版 52kWh 4座版,问界M9 2025款 纯电 Ultra版 100kWh 4座版
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,副驾娱乐屏尺寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸
屏幕/系统,副驾屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风 座椅按摩
屏幕/系统,语音助手唤醒词,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 六区域,● 六区域,● 六区域,● 六区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,●,●,●,●,●,●,●,●,●
屏幕/系统,声纹识别,●,●,●,●,●,●,●,●,●
屏幕/系统,隐私声盾,●,●,●,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS
屏幕/系统,后排投影系统,○ (2.00万元),●,○ (2.00万元),●,○ (2.00万元),●,●,●,●
屏幕/系统,后排控制多媒体,○,●,○,●,○,●,●,●,●
屏幕/系统,多指飞屏操控,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●
智能化配置,车内生物监测系统,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,仪表盘屏幕材质,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,HUD抬头尺寸,● 75英寸,● 75英寸,● 75英寸,● 75英寸,● 75英寸,● 75英寸,● 75英寸,● 75英寸,● 75英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体
车内充电,多媒体/充电接口,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,-,-
车内充电,USB/Type-C最大充电功率,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器,● 加热 通风 按摩 头枕扬声器
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅调节,前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,前后调节 靠背调节 高低调节 腿托调节,前后调节 靠背调节 高低调节 腿托调节,前后调节 靠背调节 高低调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,后排小桌板,○,○,○,○,○,○,○,○,○
座椅配置,零重力座椅,○ 第二排（右侧） (2.00万元),● 第二排（右侧）,○ 第二排（右侧） (2.00万元),● 第二排（右侧）,○ 第二排（右侧） (2.00万元),○ 第二排（右侧） (2.00万元),○ 第二排（右侧） (2.00万元),● 第二排,● 第二排
座椅配置,第二排独立座椅,●,●,●,●,-,-,-,●,●
座椅配置,第三排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,-,-,-,-,-
座椅配置,第三排座椅电动调节,●,●,●,●,-,-,-,-,-
座椅配置,第三排座椅功能,● 加热,● 加热,● 加热,● 加热,-,-,-,-,-
座椅配置,座椅布局,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2,-,-,-,● 2-2,● 2-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,-
座椅配置,后排座椅电动放倒,●,●,●,●,●,●,●,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND
音响/车内灯光,扬声器数量,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,车内环境氛围灯,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,-,●,●,-,-,●,-,●
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,●,●,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●,●,●,●,●,●
空调/冰箱,车载冰箱,●,●,●,●,●,●,●,●,●
特色配置,百万像素智慧投影大灯,-,●,-,●,-,●,●,-,-
颜色,外观颜色,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000 银色/银境紫,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000 夜紫,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000 银色/银境紫,鎏金黑 牧野青 银色/星河蓝 ￥10000 银色/雅丹黑 ￥10000 金色/金瑞红 ￥10000 银色/银境紫
颜色,内饰颜色,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000,黑色/赤茶橘 黑色/琥珀棕 ￥12000 黑色/月影灰 黑色/望舒杏 ￥12000 黑色/松露棕 ￥12000
选装包,山海坐席,-,-,-,-,○ 包含：山海坐席 选配 (暂无价格),○ 包含：山海坐席 选配 (暂无价格),○ 包含：山海坐席 选配 (暂无价格),-,-
